Abb,County
ALA,Alameda
ALP,Alpine
AMA,Amador
BUT,Butte
CC,Contra Costa
CLV,Calaveras
COL,Colusa
DN,Del Norte
ED,El Dorado
FRE,Fresno
GLE,Glenn
HUM,Humboldt
IMP,Imperial
INY,Inyo
KER,Kern
KIN,Kings
LA,Los Angeles
LAK,Lake
LAS,Lassen
MAD,Madera
MEN,Mendocino
MER,Merced
MNO,Mono
MOD,Modoc
MRN,Marin
MRP,Mariposa
MTY,Monterey
NAP,Napa
NEV,Nevada
ORA,Orange
PLA,Placer
PLU,Plumas
RIV,Riverside
SAC,Sacramento
SBA,Santa Barbara
SBE,San Bernardino
SBT,San Benito
SCL,Santa Clara
SCZ,Santa Cruz
SD,San Diego
SF,San Francisco
SHA,Shasta
SIE,Sierra
SIS,Siskiyou
SJ,San Joaquin
SLO,San Luis Obispo
SM,San Mateo
SOL,Solano
SON,Sonoma
STA,Stanislaus
SUT,Sutter
TEH,Tehama
TRI,Trinity
TUL,Tulare
TUO,Tuolumne
VEN,Ventura
YOL,Yolo
YUB,Yuba
